Date,Ouverture,Plus Haut,Plus Bas,Ferme,Clôture Ajustée,Volume
21 nov. 2024,"228,79","230,15","225,71","228,52","228,52",40 355 157
20 nov. 2024,"228,06","229,93","225,89","229,00","229,00",35 169 600
19 nov. 2024,"226,98","230,16","226,66","228,28","228,28",36 211 800
18 nov. 2024,"225,25","229,74","225,17","228,02","228,02",44 686 000
15 nov. 2024,"226,40","226,92","224,27","225,00","225,00",47 923 700
14 nov. 2024,"225,02","228,87","225,00","228,22","228,22",44 923 900
13 nov. 2024,"224,01","226,65","222,76","225,12","225,12",48 566 200
12 nov. 2024,"224,55","225,59","223,36","224,23","224,23",40 398 300
11 nov. 2024,"225,00","225,70","221,50","224,23","224,23",42 005 600
8 nov. 2024,"227,17","228,66","226,41","226,96","226,96",38 328 800
7 nov. 2024,"224,63","227,88","224,57","227,48","227,23",42 137 700
6 nov. 2024,"222,61","226,07","221,19","222,72","222,48",54 561 100
5 nov. 2024,"221,80","223,95","221,14","223,45","223,20",28 111 300
4 nov. 2024,"220,99","222,79","219,71","222,01","221,77",44 944 500
1 nov. 2024,"220,97","225,35","220,27","222,91","222,67",65 276 700
31 oct. 2024,"229,34","229,83","225,37","225,91","225,66",64 370 100
30 oct. 2024,"232,61","233,47","229,55","230,10","229,85",47 070 900
29 oct. 2024,"233,10","234,33","232,32","233,67","233,41",35 417 200
28 oct. 2024,"233,32","234,73","232,55","233,40","233,14",36 087 100
25 oct. 2024,"229,74","233,22","229,57","231,41","231,16",38 802 300
24 oct. 2024,"229,98","230,82","228,41","230,57","230,32",31 109 500
23 oct. 2024,"234,08","235,14","227,76","230,76","230,51",52 287 000
22 oct. 2024,"233,89","236,22","232,60","235,86","235,60",38 846 600
21 oct. 2024,"234,45","236,85","234,45","236,48","236,22",36 254 500
18 oct. 2024,"236,18","236,18","234,01","235,00","234,74",46 431 500
17 oct. 2024,"233,43","233,85","230,52","232,15","231,89",32 993 800
16 oct. 2024,"231,60","232,12","229,84","231,78","231,53",34 082 200
15 oct. 2024,"233,61","237,49","232,37","233,85","233,59",64 751 400
14 oct. 2024,"228,70","231,73","228,60","231,30","231,05",39 882 100
11 oct. 2024,"229,30","229,41","227,34","227,55","227,30",31 759 200
10 oct. 2024,"227,78","229,50","227,17","229,04","228,79",28 183 500
9 oct. 2024,"225,23","229,75","224,83","229,54","229,29",33 591 100
8 oct. 2024,"224,30","225,98","223,25","225,77","225,52",31 855 700
7 oct. 2024,"224,50","225,69","221,33","221,69","221,45",39 505 400
4 oct. 2024,"227,90","228,00","224,13","226,80","226,55",37 245 100
3 oct. 2024,"225,14","226,81","223,32","225,67","225,42",34 044 200
2 oct. 2024,"225,89","227,37","223,02","226,78","226,53",32 880 600
1 oct. 2024,"229,52","229,65","223,74","226,21","225,96",63 285 000
30 sept. 2024,"230,04","233,00","229,65","233,00","232,74",54 541 900
27 sept. 2024,"228,46","229,52","227,30","227,79","227,54",34 026 000
26 sept. 2024,"227,30","228,50","225,41","227,52","227,27",36 636 700
25 sept. 2024,"224,93","227,29","224,02","226,37","226,12",42 308 700
24 sept. 2024,"228,65","229,35","225,73","227,37","227,12",43 556 100
23 sept. 2024,"227,34","229,45","225,81","226,47","226,22",54 146 000
20 sept. 2024,"229,97","233,09","227,62","228,20","227,95",318 679 900
19 sept. 2024,"224,99","229,82","224,63","228,87","228,62",66 781 300
18 sept. 2024,"217,55","222,71","217,54","220,69","220,45",59 894 900
17 sept. 2024,"215,75","216,90","214,50","216,79","216,55",45 519 300
16 sept. 2024,"216,54","217,22","213,92","216,32","216,08",59 357 400
13 sept. 2024,"223,58","224,04","221,91","222,50","222,26",36 766 600
12 sept. 2024,"222,50","223,55","219,82","222,77","222,53",37 498 200
11 sept. 2024,"221,46","223,09","217,89","222,66","222,42",44 587 100
10 sept. 2024,"218,92","221,48","216,73","220,11","219,87",51 591 000
9 sept. 2024,"220,82","221,27","216,71","220,91","220,67",67 180 000
6 sept. 2024,"223,95","225,24","219,77","220,82","220,58",48 423 000
5 sept. 2024,"221,63","225,48","221,52","222,38","222,14",36 615 400
4 sept. 2024,"221,66","221,78","217,48","220,85","220,61",43 840 200
3 sept. 2024,"228,55","229,00","221,17","222,77","222,53",50 190 600
30 août 2024,"230,19","230,40","227,48","229,00","228,75",52 990 800
29 août 2024,"230,10","232,92","228,88","229,79","229,54",51 906 300
28 août 2024,"227,92","229,86","225,68","226,49","226,24",38 052 200
27 août 2024,"226,00","228,85","224,89","228,03","227,78",35 934 600
26 août 2024,"226,76","227,28","223,89","227,18","226,93",30 602 200
23 août 2024,"225,66","228,22","224,33","226,84","226,59",38 677 300
22 août 2024,"227,79","228,34","223,90","224,53","224,28",43 695 300
21 août 2024,"226,52","227,98","225,05","226,40","226,15",34 765 500
20 août 2024,"225,77","227,17","225,45","226,51","226,26",30 299 000
19 août 2024,"225,72","225,99","223,04","225,89","225,64",40 687 800
16 août 2024,"223,92","226,83","223,65","226,05","225,80",44 340 200
15 août 2024,"224,60","225,35","222,76","224,72","224,47",46 414 000
14 août 2024,"220,57","223,03","219,70","221,72","221,48",41 960 600
13 août 2024,"219,01","221,89","219,01","221,27","221,03",44 155 300
12 août 2024,"216,07","219,51","215,60","217,53","217,29",38 028 100
9 août 2024,"212,10","216,78","211,97","216,24","215,75",42 201 600
8 août 2024,"213,11","214,20","208,83","213,31","212,83",47 161 100
7 août 2024,"206,90","213,64","206,39","209,82","209,35",63 516 400
6 août 2024,"205,30","209,99","201,07","207,23","206,76",69 660 500
5 août 2024,"199,09","213,50","196,00","209,27","208,80",119 548 600
2 août 2024,"219,15","225,60","217,71","219,86","219,36",105 568 600
1 août 2024,"224,37","224,48","217,02","218,36","217,87",62 501 000
31 juil. 2024,"221,44","223,82","220,63","222,08","221,58",50 036 300
30 juil. 2024,"219,19","220,33","216,12","218,80","218,31",41 643 800
29 juil. 2024,"216,96","219,30","215,75","218,24","217,75",36 311 800
26 juil. 2024,"218,70","219,49","216,01","217,96","217,47",41 601 300
25 juil. 2024,"218,93","220,85","214,62","217,49","217,00",51 391 200
24 juil. 2024,"224,00","224,80","217,13","218,54","218,05",61 777 600
23 juil. 2024,"224,37","226,94","222,68","225,01","224,50",39 960 300
22 juil. 2024,"227,01","227,78","223,09","223,96","223,46",48 201 800
19 juil. 2024,"224,82","226,80","223,28","224,31","223,80",49 151 500
18 juil. 2024,"230,28","230,44","222,27","224,18","223,67",66 034 600
17 juil. 2024,"229,45","231,46","226,64","228,88","228,36",57 345 900
16 juil. 2024,"235,00","236,27","232,33","234,82","234,29",43 234 300
15 juil. 2024,"236,48","237,23","233,09","234,40","233,87",62 631 300
12 juil. 2024,"228,92","232,64","228,68","230,54","230,02",53 046 500
11 juil. 2024,"231,39","232,39","225,77","227,57","227,06",64 710 600
10 juil. 2024,"229,30","233,08","229,25","232,98","232,45",62 627 700
9 juil. 2024,"227,93","229,40","226,37","228,68","228,16",48 076 100
8 juil. 2024,"227,09","227,85","223,25","227,82","227,31",59 085 900
5 juil. 2024,"221,65","226,45","221,65","226,34","225,83",60 412 400
3 juil. 2024,"220,00","221,55","219,03","221,55","221,05",37 369 800
2 juil. 2024,"216,15","220,38","215,10","220,27","219,77",58 046 200
1 juil. 2024,"212,09","217,51","211,92","216,75","216,26",60 402 900
28 juin 2024,"215,77","216,07","210,30","210,62","210,15",82 542 700
27 juin 2024,"214,69","215,74","212,35","214,10","213,62",49 772 700
26 juin 2024,"211,50","214,86","210,64","213,25","212,77",66 213 200
25 juin 2024,"209,15","211,38","208,61","209,07","208,60",56 713 900
24 juin 2024,"207,72","212,70","206,59","208,14","207,67",80 727 000
21 juin 2024,"210,39","211,89","207,11","207,49","207,02",246 421 400
20 juin 2024,"213,93","214,24","208,85","209,68","209,21",86 172 500
18 juin 2024,"217,59","218,63","213,00","214,29","213,81",79 943 300
17 juin 2024,"213,37","218,95","212,72","216,67","216,18",93 728 300
14 juin 2024,"213,85","215,17","211,30","212,49","212,01",70 122 700
13 juin 2024,"214,74","216,75","211,60","214,24","213,76",97 862 700
12 juin 2024,"207,37","220,20","206,90","213,07","212,59",198 134 300
11 juin 2024,"193,65","207,16","193,63","207,15","206,68",172 373 300
10 juin 2024,"196,90","197,30","192,15","193,12","192,68",97 262 100
7 juin 2024,"194,65","196,94","194,14","196,89","196,45",53 103 900
6 juin 2024,"195,69","196,50","194,17","194,48","194,04",41 181 800
5 juin 2024,"195,40","196,90","194,87","195,87","195,43",54 156 800
4 juin 2024,"194,64","195,32","193,03","194,35","193,91",47 471 400
